FROM,TO,Travel Time Savings (+),Travel Time Savings (-)
Vancouver,PortlandCentralCity,3330978.429,0
ClarkCounty,PortlandCentralCity,3113626.463,0
ClarkCounty,Gateway,2165827.85,0
Vancouver,Rivergate,1709393.709,0
ClarkCounty,Rivergate,1101810.934,0
Beaverton,PortlandCentralCity,880079.9315,0
ClarkCounty,Beaverton,806465.9287,0
Vancouver,Gateway,802684.3614,0
Vancouver,Beaverton,753238.0009,0
ClarkCounty,Hillsboro,653330.3049,0
PortlandCentralCity,PortlandCentralCity,646556.9456,0
ClarkCounty,FairviewtoWoodVillagetoTroutdale,635524.5321,0
Vancouver,Hillsboro,595298.5923,0
MilwaukietoLakeOswego,PortlandCentralCity,570237.4213,0
Rivergate,Vancouver,562953.7514,0
Gateway,PortlandCentralCity,461061.4606,0
PortlandCentralCity,Beaverton,450924.9173,0
PortlandCentralCity,Vancouver,435765.1115,0
ClarkCounty,Tigard,382964.3397,0
ClarkCounty,MilwaukietoLakeOswego,364395.5902,0
Vancouver,Tigard,337939.4114,0
Rivergate,ClarkCounty,333420.4442,0
ClarkCounty,Lents,326403.818,0
ClarkCounty,Clackamas,314516.8979,0
Vancouver,MilwaukietoLakeOswego,306826.1871,0
Hillsboro,PortlandCentralCity,303154.2033,0
Rivergate,PortlandCentralCity,281562.1167,0
Lents,PortlandCentralCity,270170.185,0
Gateway,Beaverton,245673.6942,0
ClarkCounty,Gresham,232020.7732,0
Vancouver,Tualatin,219739.7786,0
Wilsonville,Tigard,216969.5444,0
Vancouver,FairviewtoWoodVillagetoTroutdale,215645.0361,0
ClarkCounty,Tualatin,208231.1088,0
Wilsonville,PortlandCentralCity,202108.5443,0
PortlandCentralCity,ClarkCounty,194666.0743,0
PortlandCentralCity,Hillsboro,190621.4459,0
Beaverton,Gateway,189099.6448,0
Beaverton,Vancouver,188037.3716,0
Tualatin,Tigard,185938.2904,0
Rivergate,Beaverton,182817.7891,0
Tigard,PortlandCentralCity,179532.122,0
Gresham,PortlandCentralCity,168686.5721,0
Gateway,Tigard,167545.357,0
Wilsonville,Beaverton,165121.015,0
ClarkCounty,WestLinntoOregonCity,157484.0567,0
Beaverton,Beaverton,142484.6967,0
Vancouver,Lents,138199.0942,0
Vancouver,Wilsonville,136492.3186,0
MilwaukietoLakeOswego,Gateway,132729.7473,0
Lents,Beaverton,132139.4462,0
FairviewtoWoodVillagetoTroutdale,PortlandCentralCity,130293.2188,0
Gateway,Hillsboro,128984.3047,0
SherwoodtoNewberg,PortlandCentralCity,128124.9547,0
Vancouver,Clackamas,127419.3247,0
Beaverton,ClarkCounty,126999.2954,0
Tualatin,PortlandCentralCity,118339.2406,0
Wilsonville,MilwaukietoLakeOswego,116112.2862,0
WestLinntoOregonCity,Tigard,115510.0296,0
PortlandCentralCity,Gateway,114656.8844,0
Hillsboro,Vancouver,114581.0004,0
WestLinntoOregonCity,PortlandCentralCity,112970.5389,0
ClarkCounty,ClarkCounty,112651.3656,0
PortlandCentralCity,MilwaukietoLakeOswego,112006.4645,0
Tigard,Tualatin,109252.5129,0
PortlandCentralCity,Tualatin,106909.046,0
WestLinntoOregonCity,Beaverton,105702.9117,0
Gateway,MilwaukietoLakeOswego,103068.5381,0
Wilsonville,Tualatin,96554.9771,0
Gresham,Beaverton,95908.83806,0
FairviewtoWoodVillagetoTroutdale,Beaverton,95417.75941,0
ForestGrove,PortlandCentralCity,93356.7414,0
WestLinntoOregonCity,MilwaukietoLakeOswego,92642.56781,0
Tigard,Gateway,92376.29467,0
Beaverton,Lents,91579.26596,0
Tualatin,Tualatin,91117.86463,0
ClarkCounty,Wilsonville,90668.35781,0
MilwaukietoLakeOswego,Tigard,89332.72584,0
PortlandCentralCity,Wilsonville,88592.90902,0
Rivergate,Hillsboro,86479.77471,0
Rivergate,Tigard,86159.88106,0
Vancouver,Gresham,85073.06835,0
Beaverton,Tualatin,85055.44109,0
Tualatin,Beaverton,83129.41266,0
MilwaukietoLakeOswego,Beaverton,82865.71765,0
MilwaukietoLakeOswego,Tualatin,82487.74099,0
ClarkCounty,ForestGrove,80032.45174,0
Beaverton,Wilsonville,79986.22869,0
Tualatin,MilwaukietoLakeOswego,79758.42854,0
ClarkCounty,Damascus,79180.6114,0
Rivergate,MilwaukietoLakeOswego,77669.8465,0
PortlandCentralCity,Lents,74548.03117,0
MilwaukietoLakeOswego,Vancouver,73912.02924,0
Lents,Tigard,73677.44718,0
Hillsboro,Gateway,73240.54936,0
Beaverton,Clackamas,72567.07617,0
Hillsboro,ClarkCounty,72128.55389,0
Gateway,Tualatin,71757.43003,0
FairviewtoWoodVillagetoTroutdale,Hillsboro,71368.93574,0
Vancouver,ForestGrove,69670.54072,0
Rivergate,Gateway,69154.58497,0
FairviewtoWoodVillagetoTroutdale,Tigard,68380.3979,0
Vancouver,WestLinntoOregonCity,67223.38975,0
Damascus,PortlandCentralCity,64675.47998,0
Beaverton,FairviewtoWoodVillagetoTroutdale,62623.14676,0
Gresham,Tigard,62605.45145,0
Gateway,Vancouver,61214.29904,0
ClarkCounty,HappyValley,60954.65356,0
Gresham,Hillsboro,59201.89474,0
MilwaukietoLakeOswego,MilwaukietoLakeOswego,57872.23309,0
Lents,Hillsboro,57806.17306,0
SherwoodtoNewberg,Tualatin,57619.8077,0
PortlandCentralCity,Tigard,57312.68342,0
Rivergate,Tualatin,55440.7201,0
Damascus,Beaverton,53495.31325,0
Tigard,Wilsonville,51716.90424,0
Tigard,Tigard,51537.60993,0
Beaverton,Tigard,51081.56646,0
ClarkCounty,SherwoodtoNewberg,50792.49304,0
SherwoodtoNewberg,Beaverton,49550.37086,0
Wilsonville,Hillsboro,49384.69439,0
Vancouver,SherwoodtoNewberg,48934.94455,0
Tigard,Vancouver,47725.66662,0
HappyValley,PortlandCentralCity,47644.07637,0
SherwoodtoNewberg,Tigard,46617.0238,0
WillametteValley,Beaverton,45619.04421,0
SherwoodtoNewberg,MilwaukietoLakeOswego,43476.15901,0
Lents,MilwaukietoLakeOswego,43286.84746,0
Tigard,Beaverton,43191.93659,0
Gateway,Gateway,42506.50721,0
PortlandCentralCity,FairviewtoWoodVillagetoTroutdale,41144.21626,0
WestLinntoOregonCity,Hillsboro,40275.74339,0
Beaverton,MilwaukietoLakeOswego,40031.85759,0
WillametteValley,Tigard,40004.58182,0
Rivergate,Rivergate,39926.85257,0
Hillsboro,Clackamas,39888.13328,0
MilwaukietoLakeOswego,Lents,39573.97379,0
Damascus,Hillsboro,38096.69762,0
Hillsboro,Lents,37967.7958,0
Gresham,Lents,37415.67113,0
HappyValley,Beaverton,36816.52054,0
Beaverton,WestLinntoOregonCity,36318.66325,0
Clackamas,Beaverton,36206.98119,0
Rivergate,Wilsonville,35843.69902,0
Damascus,Tigard,35464.46574,0
MilwaukietoLakeOswego,ClarkCounty,34917.48929,0
Tigard,ClarkCounty,33350.51184,0
FairviewtoWoodVillagetoTroutdale,MilwaukietoLakeOswego,33018.29103,0
Hillsboro,FairviewtoWoodVillagetoTroutdale,32394.62292,0
MilwaukietoLakeOswego,Clackamas,32390.59331,0
MilwaukietoLakeOswego,Hillsboro,32172.52263,0
Vancouver,Damascus,31856.5138,0
WillametteValley,PortlandCentralCity,31761.46452,0
Hillsboro,Wilsonville,31681.7382,0
ClarkCounty,WillametteValley,31623.69973,0
MilwaukietoLakeOswego,FairviewtoWoodVillagetoTroutdale,30577.4225,0
Beaverton,Gresham,30504.0332,0
MilwaukietoLakeOswego,Wilsonville,29808.28852,0
Tigard,FairviewtoWoodVillagetoTroutdale,29693.6108,0
Wilsonville,Vancouver,28968.20318,0
Hillsboro,Tualatin,28632.96405,0
Clackamas,PortlandCentralCity,28468.52572,0
Hillsboro,Beaverton,28422.86248,0
WillametteValley,MilwaukietoLakeOswego,28206.71914,0
Tualatin,Vancouver,27567.7819,0
Vancouver,Vancouver,26983.23661,0
Gresham,MilwaukietoLakeOswego,26609.01029,0
SherwoodtoNewberg,Gateway,26493.11098,0
MilwaukietoLakeOswego,WestLinntoOregonCity,26245.70515,0
HappyValley,Tigard,26002.22898,0
ForestGrove,Gateway,25961.69945,0
ForestGrove,Vancouver,25244.9145,0
Beaverton,Hillsboro,24431.84679,0
PortlandCentralCity,SherwoodtoNewberg,24377.2336,0
Hillsboro,MilwaukietoLakeOswego,24286.32794,0
Vancouver,HappyValley,23359.52244,0
SherwoodtoNewberg,Vancouver,22987.54605,0
Clackamas,Hillsboro,22507.52917,0
SherwoodtoNewberg,Hillsboro,22232.57195,0
ClarkCounty,ColumbiaCounty,22157.23078,0
PortlandCentralCity,Gresham,22124.46579,0
Clackamas,Tigard,20956.42457,0
HappyValley,Hillsboro,20467.95897,0
Tualatin,Hillsboro,20288.89116,0
PortlandCentralCity,ForestGrove,20200.7537,0
FairviewtoWoodVillagetoTroutdale,Tualatin,19424.89182,0
WillametteValley,Hillsboro,19333.70547,0
WestLinntoOregonCity,Clackamas,18993.75335,0
Vancouver,ColumbiaCounty,18750.29132,0
Clackamas,MilwaukietoLakeOswego,18420.67579,0
ForestGrove,ClarkCounty,18305.13306,0
Tigard,WestLinntoOregonCity,18149.81178,0
WillametteValley,Clackamas,17713.57225,0
Wilsonville,SherwoodtoNewberg,17507.79337,0
Lents,Lents,16823.89806,0
Gateway,SherwoodtoNewberg,16759.40753,0
Hillsboro,WestLinntoOregonCity,16552.66612,0
Lents,Tualatin,15708.07375,0
Hillsboro,Hillsboro,15563.97659,0
Beaverton,SherwoodtoNewberg,15411.32727,0
HappyValley,Clackamas,15409.01309,0
Beaverton,Rivergate,15314.96277,0
PortlandCentralCity,Clackamas,15294.79808,0
Gateway,ForestGrove,15205.17889,0
Tualatin,Wilsonville,15165.01147,0
Rivergate,Lents,15093.18373,0
HappyValley,MilwaukietoLakeOswego,14828.87464,0
Hillsboro,Gresham,14454.07707,0
Wilsonville,Rivergate,14316.54264,0
SherwoodtoNewberg,Wilsonville,14077.48347,0
Vancouver,WillametteValley,13771.15442,0
Tigard,Clackamas,13483.83071,0
Hillsboro,Tigard,13191.08979,0
Tigard,Hillsboro,12998.54287,0
Tigard,Lents,12935.38077,0
Tualatin,Gateway,12669.17628,0
Beaverton,HappyValley,12548.66248,0
Rivergate,SherwoodtoNewberg,12174.9628,0
Damascus,MilwaukietoLakeOswego,12141.8651,0
ForestGrove,Clackamas,12032.7891,0
MilwaukietoLakeOswego,SherwoodtoNewberg,11691.61716,0
ForestGrove,FairviewtoWoodVillagetoTroutdale,11684.4134,0
ForestGrove,Lents,11526.51821,0
WestLinntoOregonCity,Tualatin,11404.17013,0
Tigard,SherwoodtoNewberg,11359.58533,0
Damascus,Clackamas,11336.71659,0
Beaverton,Damascus,10616.45948,0
ColumbiaCounty,Vancouver,10511.27133,0
SherwoodtoNewberg,Rivergate,10335.85948,0
ForestGrove,MilwaukietoLakeOswego,9508.478749,0
Beaverton,WillametteValley,9433.653678,0
Rivergate,FairviewtoWoodVillagetoTroutdale,9369.449751,0
FairviewtoWoodVillagetoTroutdale,ForestGrove,9228.731877,0
Rivergate,ForestGrove,9138.413102,0
Clackamas,Clackamas,8907.088716,0
SherwoodtoNewberg,ClarkCounty,8428.636725,0
ColumbiaCounty,ClarkCounty,8365.466186,0
MilwaukietoLakeOswego,Gresham,8363.377591,0
Tualatin,SherwoodtoNewberg,8153.898738,0
ForestGrove,Tualatin,8147.123313,0
Gresham,ForestGrove,7692.416286,0
Tigard,Gresham,7687.250634,0
Tigard,Rivergate,7350.085837,0
Lents,ForestGrove,7244.926906,0
ForestGrove,Wilsonville,7234.854037,0
Hillsboro,Damascus,7212.328699,0
Hillsboro,HappyValley,7023.455182,0
Hillsboro,SherwoodtoNewberg,6478.746196,0
Damascus,Lents,6334.529482,0
MilwaukietoLakeOswego,Rivergate,6280.507448,0
Hillsboro,WillametteValley,6219.48064,0
PortlandCentralCity,Damascus,6196.961772,0
SherwoodtoNewberg,SherwoodtoNewberg,6027.876958,0
ColumbiaCounty,PortlandCentralCity,5843.162037,0
ForestGrove,Tigard,5680.702708,0
Gateway,Lents,5533.816277,0
ForestGrove,Gresham,5406.815845,0
FairviewtoWoodVillagetoTroutdale,SherwoodtoNewberg,5268.63279,0
SherwoodtoNewberg,WestLinntoOregonCity,5210.642905,0
Gateway,FairviewtoWoodVillagetoTroutdale,5162.317017,0
ForestGrove,WestLinntoOregonCity,5118.090586,0
Gateway,Wilsonville,4860.493856,0
Clackamas,WestLinntoOregonCity,4829.800415,0
Gresham,Gateway,4803.828425,0
Damascus,ForestGrove,4742.758256,0
Gresham,Gresham,4644.163947,0
Rivergate,Gresham,4457.789514,0
Gresham,Tualatin,4441.392825,0
Wilsonville,ForestGrove,3961.919487,0
ForestGrove,Beaverton,3785.315088,0
MilwaukietoLakeOswego,WillametteValley,3725.321941,0
MilwaukietoLakeOswego,ForestGrove,3562.237714,0
Tigard,WillametteValley,3501.272643,0
SherwoodtoNewberg,FairviewtoWoodVillagetoTroutdale,3481.052241,0
Lents,SherwoodtoNewberg,3463.720284,0
MilwaukietoLakeOswego,HappyValley,3462.908751,0
Gateway,Gresham,3091.373801,0
Lents,Gresham,3026.831889,0
WestLinntoOregonCity,ForestGrove,2797.303654,0
Tualatin,ClarkCounty,2696.836613,0
ForestGrove,Damascus,2675.905499,0
FairviewtoWoodVillagetoTroutdale,Rivergate,2639.299938,0
WillametteValley,WestLinntoOregonCity,2638.621906,0
WestLinntoOregonCity,SherwoodtoNewberg,2620.359672,0
Tigard,HappyValley,2614.214145,0
Beaverton,ForestGrove,2349.001729,0
HappyValley,ForestGrove,2309.291067,0
Damascus,WestLinntoOregonCity,2304.938261,0
ForestGrove,HappyValley,2287.590387,0
FairviewtoWoodVillagetoTroutdale,Lents,2284.417871,0
SherwoodtoNewberg,ForestGrove,2254.940309,0
WestLinntoOregonCity,HappyValley,2248.674649,0
ColumbiaCounty,Wilsonville,2240.827646,0
PortlandCentralCity,ColumbiaCounty,2231.601622,0
ColumbiaCounty,Tualatin,2118.212799,0
Clackamas,ForestGrove,2116.709033,0
Damascus,Damascus,2110.323156,0
SherwoodtoNewberg,Lents,2054.199995,0
ForestGrove,SherwoodtoNewberg,2026.720038,0
PortlandCentralCity,HappyValley,1873.343527,0
Tigard,Damascus,1645.622908,0
WestLinntoOregonCity,WestLinntoOregonCity,1645.414221,0
ColumbiaCounty,Tigard,1610.921187,0
MilwaukietoLakeOswego,Damascus,1601.347644,0
Tualatin,ForestGrove,1584.18212,0
WillametteValley,HappyValley,1581.545904,0
WillametteValley,ForestGrove,1504.858289,0
Rivergate,ColumbiaCounty,1476.193948,0
ForestGrove,WillametteValley,1474.910659,0
WillametteValley,Lents,1439.775935,0
Gresham,Rivergate,1390.999662,0
Gresham,HappyValley,1358.421828,0
Damascus,Gresham,1355.361757,0
ForestGrove,ForestGrove,1341.072924,0
Tigard,ForestGrove,1333.256086,0
Hillsboro,ForestGrove,1287.728425,0
Gateway,ColumbiaCounty,1269.568581,0
HappyValley,HappyValley,1265.553479,0
FairviewtoWoodVillagetoTroutdale,HappyValley,1257.39014,0
Tualatin,Rivergate,1229.812622,0
MilwaukietoLakeOswego,ColumbiaCounty,1228.872663,0
Rivergate,Damascus,1218.85638,0
Damascus,HappyValley,1157.128522,0
ColumbiaCounty,MilwaukietoLakeOswego,1092.193227,0
Wilsonville,ColumbiaCounty,1034.578109,0
FairviewtoWoodVillagetoTroutdale,Gresham,1023.807468,0
HappyValley,WestLinntoOregonCity,987.2152459,0
Lents,ColumbiaCounty,918.5207066,0
Clackamas,WillametteValley,884.5726914,0
WestLinntoOregonCity,ColumbiaCounty,760.365653,0
SherwoodtoNewberg,WillametteValley,699.5906076,0
Damascus,Rivergate,629.6239406,0
HappyValley,WillametteValley,627.5346002,0
Gresham,SherwoodtoNewberg,604.1287135,0
Tualatin,Lents,588.8576147,0
Rivergate,WestLinntoOregonCity,588.7299345,0
FairviewtoWoodVillagetoTroutdale,ColumbiaCounty,572.5698782,0
WillametteValley,Damascus,568.8546756,0
Gresham,ColumbiaCounty,566.6034048,0
PortlandCentralCity,WillametteValley,549.4646429,0
Lents,WillametteValley,494.2939619,0
ForestGrove,Hillsboro,481.0299285,0
WillametteValley,ColumbiaCounty,413.0982417,0
Damascus,ColumbiaCounty,410.219288,0
ColumbiaCounty,WestLinntoOregonCity,398.5259422,0
Tualatin,ColumbiaCounty,398.3535771,0
Tigard,ColumbiaCounty,338.887112,0
WillametteValley,Tualatin,316.9402294,0
Clackamas,ColumbiaCounty,269.3617696,0
HappyValley,ColumbiaCounty,234.2250819,0
SherwoodtoNewberg,HappyValley,223.1782479,0
WillametteValley,SherwoodtoNewberg,216.856569,0
ColumbiaCounty,SherwoodtoNewberg,192.3698738,0
SherwoodtoNewberg,Damascus,183.2595273,0
Clackamas,HappyValley,175.4619726,0
HappyValley,Tualatin,172.4897169,0
SherwoodtoNewberg,ColumbiaCounty,154.3703184,0
SherwoodtoNewberg,Gresham,139.6939925,0
ColumbiaCounty,WillametteValley,131.9217911,0
Gresham,Damascus,121.9669305,0
HappyValley,SherwoodtoNewberg,114.759445,0
SherwoodtoNewberg,Clackamas,111.2713615,0
Damascus,WillametteValley,109.3490044,0
Tualatin,WillametteValley,108.4230754,0
ColumbiaCounty,FairviewtoWoodVillagetoTroutdale,42.67228091,0
ColumbiaCounty,Gresham,28.3396378,0
Beaverton,ColumbiaCounty,23.52632885,0
ColumbiaCounty,Damascus,16.35929903,0
WillametteValley,WillametteValley,6.694143492,0
Beaverton,External,0,0
Clackamas,External,0,0
ClarkCounty,External,0,0
ColumbiaCounty,External,0,0
Damascus,External,0,0
External,Beaverton,0,0
External,Clackamas,0,0
External,ClarkCounty,0,0
External,ColumbiaCounty,0,0
External,Damascus,0,0
External,External,0,0
External,FairviewtoWoodVillagetoTroutdale,0,0
External,ForestGrove,0,0
External,Gateway,0,0
External,Gresham,0,0
External,HappyValley,0,0
External,Hillsboro,0,0
External,Lents,0,0
External,MilwaukietoLakeOswego,0,0
External,PortlandCentralCity,0,0
External,Rivergate,0,0
External,SherwoodtoNewberg,0,0
External,Tigard,0,0
External,Tualatin,0,0
External,Vancouver,0,0
External,WestLinntoOregonCity,0,0
External,WillametteValley,0,0
External,Wilsonville,0,0
FairviewtoWoodVillagetoTroutdale,External,0,0
ForestGrove,External,0,0
Gateway,External,0,0
Gresham,External,0,0
HappyValley,External,0,0
Hillsboro,External,0,0
Lents,External,0,0
MilwaukietoLakeOswego,External,0,0
PortlandCentralCity,External,0,0
Rivergate,External,0,0
SherwoodtoNewberg,External,0,0
Tigard,External,0,0
Tualatin,External,0,0
Vancouver,External,0,0
WestLinntoOregonCity,External,0,0
WillametteValley,External,0,0
Wilsonville,External,0,0
ColumbiaCounty,Lents,0,-29.79612709
ColumbiaCounty,ColumbiaCounty,0,-61.64521902
Gateway,Damascus,0,-63.67240313
Gresham,WillametteValley,0,-77.35673695
ColumbiaCounty,HappyValley,0,-94.23025525
FairviewtoWoodVillagetoTroutdale,Damascus,0,-123.9638493
Lents,Damascus,0,-145.992392
WestLinntoOregonCity,Rivergate,0,-252.5693553
Damascus,SherwoodtoNewberg,0,-366.9193158
WestLinntoOregonCity,Damascus,0,-368.0375007
Wilsonville,WillametteValley,0,-420.7222003
Clackamas,Damascus,0,-536.1068883
ColumbiaCounty,Clackamas,0,-551.322874
Rivergate,HappyValley,0,-657.3497993
ColumbiaCounty,Gateway,0,-666.8027741
ColumbiaCounty,ForestGrove,0,-667.7249723
WestLinntoOregonCity,WillametteValley,0,-692.3628698
WillametteValley,Gresham,0,-775.327947
Clackamas,SherwoodtoNewberg,0,-827.9723221
ForestGrove,ColumbiaCounty,0,-926.5556345
Tualatin,Damascus,0,-1032.327996
Gateway,Rivergate,0,-1042.166965
Gresham,Clackamas,0,-1045.244106
HappyValley,Damascus,0,-1143.381346
Tualatin,HappyValley,0,-1360.662226
WillametteValley,Rivergate,0,-1463.850077
ColumbiaCounty,Beaverton,0,-1865.074281
Tualatin,Gresham,0,-2044.455499
Damascus,Tualatin,0,-2115.23461
FairviewtoWoodVillagetoTroutdale,WillametteValley,0,-2210.136061
Rivergate,WillametteValley,0,-2215.99415
Lents,Vancouver,0,-2317.17295
HappyValley,Rivergate,0,-2498.05139
Gateway,WillametteValley,0,-2562.795127
Gresham,Vancouver,0,-2742.310631
HappyValley,Lents,0,-2897.60853
Wilsonville,Damascus,0,-2924.185981
Wilsonville,HappyValley,0,-2946.774403
Lents,HappyValley,0,-3103.8052
Damascus,FairviewtoWoodVillagetoTroutdale,0,-3299.059753
WillametteValley,FairviewtoWoodVillagetoTroutdale,0,-3404.598729
Gresham,WestLinntoOregonCity,0,-3413.046037
Hillsboro,ColumbiaCounty,0,-3522.606314
Clackamas,Gresham,0,-3810.191203
FairviewtoWoodVillagetoTroutdale,Gateway,0,-3928.75843
Damascus,Vancouver,0,-4025.859475
Tualatin,FairviewtoWoodVillagetoTroutdale,0,-4154.144143
Clackamas,Tualatin,0,-4223.52823
WestLinntoOregonCity,Gresham,0,-4902.085611
WillametteValley,Vancouver,0,-4949.198302
PortlandCentralCity,WestLinntoOregonCity,0,-4967.12886
Wilsonville,Gresham,0,-5599.091646
HappyValley,Vancouver,0,-5668.115197
HappyValley,Gresham,0,-5782.627342
Gateway,HappyValley,0,-5950.385796
Lents,FairviewtoWoodVillagetoTroutdale,0,-6306.009613
WillametteValley,ClarkCounty,0,-6408.961865
FairviewtoWoodVillagetoTroutdale,FairviewtoWoodVillagetoTroutdale,0,-6445.315557
ColumbiaCounty,Rivergate,0,-6457.984516
Damascus,ClarkCounty,0,-6472.591634
Tualatin,WestLinntoOregonCity,0,-6538.759855
HappyValley,FairviewtoWoodVillagetoTroutdale,0,-6786.362831
Tigard,MilwaukietoLakeOswego,0,-6923.967077
FairviewtoWoodVillagetoTroutdale,Vancouver,0,-7037.880121
Damascus,Gateway,0,-7064.353801
HappyValley,Wilsonville,0,-7131.3156
Gresham,Wilsonville,0,-7466.274752
Lents,Wilsonville,0,-8009.340132
ColumbiaCounty,Hillsboro,0,-8347.178235
Lents,WestLinntoOregonCity,0,-8389.656929
ForestGrove,Rivergate,0,-8443.841898
Wilsonville,Wilsonville,0,-8938.012564
WestLinntoOregonCity,Lents,0,-9284.602501
Gateway,ClarkCounty,0,-9351.306698
WillametteValley,Gateway,0,-9359.138545
WestLinntoOregonCity,Vancouver,0,-9571.209745
Wilsonville,Lents,0,-9818.559483
Tualatin,Clackamas,0,-9825.33787
Gresham,ClarkCounty,0,-10378.569
Damascus,Wilsonville,0,-10555.53381
Clackamas,Lents,0,-10759.03829
Clackamas,FairviewtoWoodVillagetoTroutdale,0,-10775.89226
HappyValley,ClarkCounty,0,-10866.37772
Gresham,FairviewtoWoodVillagetoTroutdale,0,-11009.48336
WestLinntoOregonCity,FairviewtoWoodVillagetoTroutdale,0,-11661.47835
FairviewtoWoodVillagetoTroutdale,WestLinntoOregonCity,0,-11800.3845
Clackamas,Wilsonville,0,-11943.81083
Rivergate,Clackamas,0,-12063.88679
Clackamas,Rivergate,0,-12575.63864
Wilsonville,Gateway,0,-13596.58986
Wilsonville,FairviewtoWoodVillagetoTroutdale,0,-13990.68801
WillametteValley,Wilsonville,0,-14207.5547
FairviewtoWoodVillagetoTroutdale,Wilsonville,0,-14507.98124
Clackamas,Vancouver,0,-15191.98182
Lents,Rivergate,0,-15641.724
FairviewtoWoodVillagetoTroutdale,ClarkCounty,0,-16834.64128
Wilsonville,ClarkCounty,0,-17343.63165
Lents,Gateway,0,-17834.52206
WestLinntoOregonCity,ClarkCounty,0,-17881.10943
Wilsonville,Clackamas,0,-19200.38044
Wilsonville,WestLinntoOregonCity,0,-19232.57935
Lents,ClarkCounty,0,-20690.43853
HappyValley,Gateway,0,-23188.55025
FairviewtoWoodVillagetoTroutdale,Clackamas,0,-23199.55469
Hillsboro,Rivergate,0,-23409.74093
Gateway,WestLinntoOregonCity,0,-24015.47765
Clackamas,ClarkCounty,0,-24228.32693
Lents,Clackamas,0,-26215.38501
WestLinntoOregonCity,Wilsonville,0,-34396.92901
WestLinntoOregonCity,Gateway,0,-39978.75229
Clackamas,Gateway,0,-46210.16486
Gateway,Clackamas,0,-69944.53457
Vancouver,ClarkCounty,0,-73890.4338
ClarkCounty,Vancouver,0,-80723.34565
PortlandCentralCity,Rivergate,0,-336030.2573
